,dof,appliedd
0,0,-0.05
1,0,-0.05
2,0,-0.05
3,0,-0.05
4,0,-0.05
5,0,-0.05
6,0,-0.05
7,0,-0.05
8,0,-0.05
9,0,-0.05
10,0,-0.05
11,0,-0.05
12,0,-0.05
13,0,-0.05
14,0,-0.05
15,0,-0.05
16,0,-0.05
17,0,-0.05
18,0,-0.05
19,0,-0.05
20,0,-0.05
21,0,-0.05
22,0,-0.05
23,0,-0.05
24,0,-0.05
25,0,-0.05
26,0,-0.05
27,0,-0.05
28,0,-0.05
29,0,-0.05
30,0,-0.05
31,0,-0.05
32,0,-0.05
33,0,-0.05
34,0,-0.05
35,0,-0.05
36,0,-0.05
37,0,-0.05
38,0,-0.05
39,0,-0.05
40,0,-0.05
41,0,-0.05
42,0,-0.05
43,0,-0.05
44,0,-0.05
45,0,-0.05
46,0,-0.05
47,0,-0.05
48,0,-0.05
49,0,-0.05
50,0,-0.05
51,0,-0.05
52,0,-0.05
53,0,-0.05
54,0,-0.05
55,0,-0.05
56,0,-0.05
57,0,-0.05
58,0,-0.05
59,0,-0.05
60,0,-0.05
61,0,-0.05
62,0,-0.05
63,0,-0.05
64,0,-0.05
65,0,-0.05
66,0,-0.05
67,0,-0.05
68,0,-0.05
69,0,-0.05
70,0,-0.05
71,0,-0.05
72,0,-0.05
73,0,-0.05
74,0,-0.05
75,0,-0.05
76,0,-0.05
77,0,-0.05
78,0,-0.05
79,0,-0.05
80,0,-0.05
81,0,-0.05
82,0,-0.05
83,0,-0.05
84,0,-0.05
85,0,-0.05
86,0,-0.05
87,0,-0.05
88,0,-0.05
89,0,-0.05
90,0,-0.05
91,0,-0.05
92,0,-0.05
93,0,-0.05
94,0,-0.05
95,0,-0.05
96,0,-0.05
97,0,-0.05
98,0,-0.05
99,0,-0.05
9900,0,0.05
9901,0,0.05
9902,0,0.05
9903,0,0.05
9904,0,0.05
9905,0,0.05
9906,0,0.05
9907,0,0.05
9908,0,0.05
9909,0,0.05
9910,0,0.05
9911,0,0.05
9912,0,0.05
9913,0,0.05
9914,0,0.05
9915,0,0.05
9916,0,0.05
9917,0,0.05
9918,0,0.05
9919,0,0.05
9920,0,0.05
9921,0,0.05
9922,0,0.05
9923,0,0.05
9924,0,0.05
9925,0,0.05
9926,0,0.05
9927,0,0.05
9928,0,0.05
9929,0,0.05
9930,0,0.05
9931,0,0.05
9932,0,0.05
9933,0,0.05
9934,0,0.05
9935,0,0.05
9936,0,0.05
9937,0,0.05
9938,0,0.05
9939,0,0.05
9940,0,0.05
9941,0,0.05
9942,0,0.05
9943,0,0.05
9944,0,0.05
9945,0,0.05
9946,0,0.05
9947,0,0.05
9948,0,0.05
9949,0,0.05
9950,0,0.05
9951,0,0.05
9952,0,0.05
9953,0,0.05
9954,0,0.05
9955,0,0.05
9956,0,0.05
9957,0,0.05
9958,0,0.05
9959,0,0.05
9960,0,0.05
9961,0,0.05
9962,0,0.05
9963,0,0.05
9964,0,0.05
9965,0,0.05
9966,0,0.05
9967,0,0.05
9968,0,0.05
9969,0,0.05
9970,0,0.05
9971,0,0.05
9972,0,0.05
9973,0,0.05
9974,0,0.05
9975,0,0.05
9976,0,0.05
9977,0,0.05
9978,0,0.05
9979,0,0.05
9980,0,0.05
9981,0,0.05
9982,0,0.05
9983,0,0.05
9984,0,0.05
9985,0,0.05
9986,0,0.05
9987,0,0.05
9988,0,0.05
9989,0,0.05
9990,0,0.05
9991,0,0.05
9992,0,0.05
9993,0,0.05
9994,0,0.05
9995,0,0.05
9996,0,0.05
9997,0,0.05
9998,0,0.05
9999,0,0.05
