,appliedb1,appliedb2
0,-200.0,0.0
1,-200.0,0.0
2,-200.0,0.0
3,-200.0,0.0
4,-200.0,0.0
5,-200.0,0.0
6,-200.0,0.0
7,-200.0,0.0
8,-200.0,0.0
9,-200.0,0.0
10,-200.0,0.0
11,-200.0,0.0
12,-200.0,0.0
13,-200.0,0.0
14,-200.0,0.0
15,-200.0,0.0
16,-200.0,0.0
17,-200.0,0.0
18,-200.0,0.0
19,-200.0,0.0
20,-200.0,0.0
21,-200.0,0.0
22,-200.0,0.0
23,-200.0,0.0
24,-200.0,0.0
25,-200.0,0.0
26,-200.0,0.0
27,-200.0,0.0
28,-200.0,0.0
29,-200.0,0.0
30,-200.0,0.0
31,-200.0,0.0
32,-200.0,0.0
33,-200.0,0.0
34,-200.0,0.0
35,-200.0,0.0
36,-200.0,0.0
37,-200.0,0.0
38,-200.0,0.0
39,-200.0,0.0
40,-200.0,0.0
41,-200.0,0.0
42,-200.0,0.0
43,-200.0,0.0
44,-200.0,0.0
45,-200.0,0.0
46,-200.0,0.0
47,-200.0,0.0
48,-200.0,0.0
49,-200.0,0.0
50,-200.0,0.0
51,-200.0,0.0
52,-200.0,0.0
53,-200.0,0.0
54,-200.0,0.0
55,-200.0,0.0
56,-200.0,0.0
57,-200.0,0.0
58,-200.0,0.0
59,-200.0,0.0
60,-200.0,0.0
61,-200.0,0.0
62,-200.0,0.0
63,-200.0,0.0
64,-200.0,0.0
65,-200.0,0.0
66,-200.0,0.0
67,-200.0,0.0
68,-200.0,0.0
69,-200.0,0.0
70,-200.0,0.0
71,-200.0,0.0
72,-200.0,0.0
73,-200.0,0.0
74,-200.0,0.0
75,-200.0,0.0
76,-200.0,0.0
77,-200.0,0.0
78,-200.0,0.0
79,-200.0,0.0
80,-200.0,0.0
81,-200.0,0.0
82,-200.0,0.0
83,-200.0,0.0
84,-200.0,0.0
85,-200.0,0.0
86,-200.0,0.0
87,-200.0,0.0
88,-200.0,0.0
89,-200.0,0.0
90,-200.0,0.0
91,-200.0,0.0
92,-200.0,0.0
93,-200.0,0.0
94,-200.0,0.0
95,-200.0,0.0
96,-200.0,0.0
97,-200.0,0.0
98,-200.0,0.0
99,-200.0,0.0
9900,200.0,0.0
9901,200.0,0.0
9902,200.0,0.0
9903,200.0,0.0
9904,200.0,0.0
9905,200.0,0.0
9906,200.0,0.0
9907,200.0,0.0
9908,200.0,0.0
9909,200.0,0.0
9910,200.0,0.0
9911,200.0,0.0
9912,200.0,0.0
9913,200.0,0.0
9914,200.0,0.0
9915,200.0,0.0
9916,200.0,0.0
9917,200.0,0.0
9918,200.0,0.0
9919,200.0,0.0
9920,200.0,0.0
9921,200.0,0.0
9922,200.0,0.0
9923,200.0,0.0
9924,200.0,0.0
9925,200.0,0.0
9926,200.0,0.0
9927,200.0,0.0
9928,200.0,0.0
9929,200.0,0.0
9930,200.0,0.0
9931,200.0,0.0
9932,200.0,0.0
9933,200.0,0.0
9934,200.0,0.0
9935,200.0,0.0
9936,200.0,0.0
9937,200.0,0.0
9938,200.0,0.0
9939,200.0,0.0
9940,200.0,0.0
9941,200.0,0.0
9942,200.0,0.0
9943,200.0,0.0
9944,200.0,0.0
9945,200.0,0.0
9946,200.0,0.0
9947,200.0,0.0
9948,200.0,0.0
9949,200.0,0.0
9950,200.0,0.0
9951,200.0,0.0
9952,200.0,0.0
9953,200.0,0.0
9954,200.0,0.0
9955,200.0,0.0
9956,200.0,0.0
9957,200.0,0.0
9958,200.0,0.0
9959,200.0,0.0
9960,200.0,0.0
9961,200.0,0.0
9962,200.0,0.0
9963,200.0,0.0
9964,200.0,0.0
9965,200.0,0.0
9966,200.0,0.0
9967,200.0,0.0
9968,200.0,0.0
9969,200.0,0.0
9970,200.0,0.0
9971,200.0,0.0
9972,200.0,0.0
9973,200.0,0.0
9974,200.0,0.0
9975,200.0,0.0
9976,200.0,0.0
9977,200.0,0.0
9978,200.0,0.0
9979,200.0,0.0
9980,200.0,0.0
9981,200.0,0.0
9982,200.0,0.0
9983,200.0,0.0
9984,200.0,0.0
9985,200.0,0.0
9986,200.0,0.0
9987,200.0,0.0
9988,200.0,0.0
9989,200.0,0.0
9990,200.0,0.0
9991,200.0,0.0
9992,200.0,0.0
9993,200.0,0.0
9994,200.0,0.0
9995,200.0,0.0
9996,200.0,0.0
9997,200.0,0.0
9998,200.0,0.0
9999,200.0,0.0
