,iter,cn
0,1,0.0
1,2,1.637754887468938
2,3,1.5266312868163059
3,4,1.4792888391751005
4,5,1.4312449781223162
5,6,1.3788986932480376
6,7,1.3257505776332819
7,8,1.2740561610095353
8,9,1.224829167916067
9,10,1.178386856563432
10,11,1.1347259478218623
11,12,1.093714289270151
12,13,1.0551770065237278
13,14,1.0189322536045478
14,15,0.9848050364802688
15,16,0.9526320582054526
16,17,0.9222630524300666
17,18,0.8935607313783702
18,19,0.8664001396179343
19,20,0.8406677325355051
20,21,0.8162603438879419
21,22,0.7930841480573302
22,23,0.7710536826809684
23,24,0.7500909640955041
24,25,0.7301247034920648
25,26,0.7110896167986663
26,27,0.6929258172449028
27,28,0.6755782782247342
28,29,0.6589963576489501
29,30,0.6431333757726837
30,31,0.6279462405236768
31,32,0.6133951145697782
32,33,0.5994431189158311
33,34,0.5860560684271954
34,35,0.5732022351259463
35,36,0.5608521357847507
36,37,0.5489783410625434
37,38,0.5375553035621804
38,39,0.5265592028524988
39,40,0.5159678053586016
40,41,0.5057603376003389
41,42,0.4959173712189416
42,43,0.4864207185408716
43,44,0.47725333760920213
44,45,0.4683992456431255
45,46,0.4598434401630548
46,47,0.45157182690909853
47,48,0.44357115393809193
48,49,0.4358289512759206
49,50,0.4283334756082079
50,51,0.42107365946537934
51,52,0.4140390646139968
52,53,0.40721983910445547
53,54,0.40060667778009784
54,55,0.39419078583513883
55,56,0.3879638452253006
56,57,0.38191798361827395
57,58,0.3760457457083059
58,59,0.37034006667314384
59,60,0.36479424758105095
60,61,0.3594019326170672
61,62,0.3541570879424471
62,63,0.34905398205728516
63,64,0.34408716758756624
64,65,0.33925146431501957
65,66,0.334541943402539
66,67,0.3299539126997334
67,68,0.32548290304980737
68,69,0.32112465551384795
69,70,0.3168751094643176
70,71,0.31273039143572323
71,72,0.308686804747384
72,73,0.3047408197667531
73,74,0.30088906481958966
74,75,0.2971283176762047
75,76,0.293455497579501
76,77,0.2898676577753659
77,78,0.28636197850758344
78,79,0.2829357604645113
79,80,0.2795864185981258
80,81,0.2763114763572393
81,82,0.2731085602534629
82,83,0.26997539475713705
83,84,0.26690979750483196
84,85,0.26390967478888816
85,86,0.26097301732076783
86,87,0.25809789624139307
87,88,0.25528245935441257
88,89,0.25252492759796524
89,90,0.24982359170205423
90,91,0.24717680903968625
91,92,0.2445830006638943
92,93,0.24204064850050527
93,94,0.2395482926970468
94,95,0.2371045291225009
95,96,0.23470800698862204
96,97,0.2323574266128828
97,98,0.2300515372830754
98,99,0.22778913524262712
99,100,0.2255690617722905
100,101,0.22339020136608312
101,102,0.22125148000474304
102,103,0.21915186349351862
103,104,0.21709035590006104
104,105,0.21506599805350107
105,106,0.21307786610723112
106,107,0.21112507017150595
107,108,0.209206753004127
108,109,0.20732208875923056
109,110,0.2054702817725507
110,111,0.20365056541949875
111,112,0.2018622009951674
112,113,0.2001044766513671
113,114,0.19837670635630997
114,115,0.19667822891306505
115,116,0.19500840698963173
116,117,0.1933666261868503
117,118,0.19175229414421058
118,119,0.19016483965913802
119,120,0.1886037118409444
120,121,0.18706837928341682
121,122,0.1855583292616332
122,123,0.18407306695161177
123,124,0.1826121146683822
124,125,0.18117501112483209
125,126,0.17976131070977366
126,127,0.17837058278752177
127,128,0.1770024110111068
128,129,0.17565639266170832
129,130,0.17433213799928368
130,131,0.17302926964115592
131,132,0.1717474219469256
132,133,0.17048624043906316
133,134,0.16924538122797636
134,135,0.16802451046633796
135,136,0.16682330381722682
136,137,0.16564144595019142
137,138,0.1644786300458233
138,139,0.16333455733341945
139,140,0.16220893663551877
140,141,0.16110148394686838
141,142,0.16001192202150175
142,143,0.15893997998719459
143,144,0.15788539297468193
144,145,0.1568479017712103
145,146,0.15582725249203147
146,147,0.1548231962669323
147,148,0.15383548895080554
148,149,0.15286389085138807
149,150,0.1519081664703876
150,151,0.15096808426799632
151,152,0.15004341643670757
152,153,0.14913393870317943
153,154,0.14823943012884663
154,155,0.1473596729403914
155,156,0.14649445236854738
156,157,0.14564355649566743
157,158,0.14480677612813278
158,159,0.14398390466906444
159,160,0.14317473800820538
160,161,0.14237907442452724
161,162,0.14159671449303288
162,163,0.1408274610114686
163,164,0.1400711189215219
164,165,0.13932749525273397
165,166,0.1385963990673729
166,167,0.13787764140966532
167,168,0.13717103526846838
168,169,0.13647639554313942
169,170,0.135793539013281
170,171,0.13512228431527518
171,172,0.1344624519220225
172,173,0.1338138641322892
173,174,0.13317634505359704
174,175,0.13254972059797207
175,176,0.13193381847633276
176,177,0.13132846819182523
177,178,0.13073350104684914
178,179,0.13014875013633503
179,180,0.12957405035443256
180,181,0.12900923839958559
181,182,0.12845415277464836
182,183,0.12790863379863354
183,184,0.12737252360875473
184,185,0.12684566616636173
185,186,0.12632790726660123
186,187,0.1258190945426144
187,188,0.1253190774716404
188,189,0.12482770738546228
189,190,0.12434483746610564
190,191,0.1238703227621671
191,192,0.12340402018510145
192,193,0.12294578851716235
193,194,0.12249548841118839
194,195,0.12205298239598315
195,196,0.12161813487238453
196,197,0.12119081212013598
197,198,0.12077088229012228
198,199,0.12035821540806864
199,200,0.11995268336969685
200,201,0.11955415993545172
201,202,0.11916252072791701
202,203,0.11877764322691212
203,204,0.11839940676027455
204,205,0.11802769249729829
205,206,0.11766238344116818
206,207,0.11730336441767797
207,208,0.11695052206921519
208,209,0.11660374483654162
209,210,0.11626292295339043
210,211,0.11592794843010647
211,212,0.1155987150416969
212,213,0.11527511831306841
213,214,0.11495705550330144
214,215,0.11464442559209723
