,appliedb1,appliedb2
0,-159.96,0.0
1,-159.96,0.0
2,-159.96,0.0
3,-159.96,0.0
4,-159.96,0.0
5,-159.96,0.0
6,-159.96,0.0
7,-159.96,0.0
8,-159.96,0.0
9,-159.96,0.0
10,-159.96,0.0
11,-159.96,0.0
12,-159.96,0.0
13,-159.96,0.0
14,-159.96,0.0
15,-159.96,0.0
16,-159.96,0.0
17,-159.96,0.0
18,-159.96,0.0
19,-159.96,0.0
20,-159.96,0.0
21,-159.96,0.0
22,-159.96,0.0
23,-159.96,0.0
24,-159.96,0.0
25,-159.96,0.0
26,-159.96,0.0
27,-159.96,0.0
28,-159.96,0.0
29,-159.96,0.0
30,-159.96,0.0
31,-159.96,0.0
32,-159.96,0.0
33,-159.96,0.0
34,-159.96,0.0
35,-159.96,0.0
36,-159.96,0.0
37,-159.96,0.0
38,-159.96,0.0
39,-159.96,0.0
40,-159.96,0.0
41,-159.96,0.0
42,-159.96,0.0
43,-159.96,0.0
44,-159.96,0.0
45,-159.96,0.0
46,-159.96,0.0
47,-159.96,0.0
48,-159.96,0.0
49,-159.96,0.0
50,-159.96,0.0
51,-159.96,0.0
52,-159.96,0.0
53,-159.96,0.0
54,-159.96,0.0
55,-159.96,0.0
56,-159.96,0.0
57,-159.96,0.0
58,-159.96,0.0
59,-159.96,0.0
60,-159.96,0.0
61,-159.96,0.0
62,-159.96,0.0
63,-159.96,0.0
64,-159.96,0.0
65,-159.96,0.0
66,-159.96,0.0
67,-159.96,0.0
68,-159.96,0.0
69,-159.96,0.0
70,-159.96,0.0
71,-159.96,0.0
72,-159.96,0.0
73,-159.96,0.0
74,-159.96,0.0
75,-159.96,0.0
76,-159.96,0.0
77,-159.96,0.0
78,-159.96,0.0
79,-159.96,0.0
80,-159.96,0.0
81,-159.96,0.0
82,-159.96,0.0
83,-159.96,0.0
84,-159.96,0.0
85,-159.96,0.0
86,-159.96,0.0
87,-159.96,0.0
88,-159.96,0.0
89,-159.96,0.0
90,-159.96,0.0
91,-159.96,0.0
92,-159.96,0.0
93,-159.96,0.0
94,-159.96,0.0
95,-159.96,0.0
96,-159.96,0.0
97,-159.96,0.0
98,-159.96,0.0
99,-159.96,0.0
9900,159.96,0.0
9901,159.96,0.0
9902,159.96,0.0
9903,159.96,0.0
9904,159.96,0.0
9905,159.96,0.0
9906,159.96,0.0
9907,159.96,0.0
9908,159.96,0.0
9909,159.96,0.0
9910,159.96,0.0
9911,159.96,0.0
9912,159.96,0.0
9913,159.96,0.0
9914,159.96,0.0
9915,159.96,0.0
9916,159.96,0.0
9917,159.96,0.0
9918,159.96,0.0
9919,159.96,0.0
9920,159.96,0.0
9921,159.96,0.0
9922,159.96,0.0
9923,159.96,0.0
9924,159.96,0.0
9925,159.96,0.0
9926,159.96,0.0
9927,159.96,0.0
9928,159.96,0.0
9929,159.96,0.0
9930,159.96,0.0
9931,159.96,0.0
9932,159.96,0.0
9933,159.96,0.0
9934,159.96,0.0
9935,159.96,0.0
9936,159.96,0.0
9937,159.96,0.0
9938,159.96,0.0
9939,159.96,0.0
9940,159.96,0.0
9941,159.96,0.0
9942,159.96,0.0
9943,159.96,0.0
9944,159.96,0.0
9945,159.96,0.0
9946,159.96,0.0
9947,159.96,0.0
9948,159.96,0.0
9949,159.96,0.0
9950,159.96,0.0
9951,159.96,0.0
9952,159.96,0.0
9953,159.96,0.0
9954,159.96,0.0
9955,159.96,0.0
9956,159.96,0.0
9957,159.96,0.0
9958,159.96,0.0
9959,159.96,0.0
9960,159.96,0.0
9961,159.96,0.0
9962,159.96,0.0
9963,159.96,0.0
9964,159.96,0.0
9965,159.96,0.0
9966,159.96,0.0
9967,159.96,0.0
9968,159.96,0.0
9969,159.96,0.0
9970,159.96,0.0
9971,159.96,0.0
9972,159.96,0.0
9973,159.96,0.0
9974,159.96,0.0
9975,159.96,0.0
9976,159.96,0.0
9977,159.96,0.0
9978,159.96,0.0
9979,159.96,0.0
9980,159.96,0.0
9981,159.96,0.0
9982,159.96,0.0
9983,159.96,0.0
9984,159.96,0.0
9985,159.96,0.0
9986,159.96,0.0
9987,159.96,0.0
9988,159.96,0.0
9989,159.96,0.0
9990,159.96,0.0
9991,159.96,0.0
9992,159.96,0.0
9993,159.96,0.0
9994,159.96,0.0
9995,159.96,0.0
9996,159.96,0.0
9997,159.96,0.0
9998,159.96,0.0
9999,159.96,0.0
