,coord1,coord2,volume,dii1,dii2,from,to
0,-49.5,-49.5,0.18,61973.698075418404,3333.4263503970733,0,10
1,-49.5,-48.5,0.18,62916.13900324061,5113.580366601508,10,23
2,-49.5,-47.5,0.18,63387.35949811376,6317.804484353555,23,39
3,-49.5,-46.5,0.18,63387.35949811376,6666.852700794145,39,56
4,-49.5,-45.5,0.18,63387.35949811376,6666.852700794145,56,73
5,-49.5,-44.5,0.18,63387.35949811376,6666.852700794145,73,90
6,-49.5,-43.5,0.18,63387.35949811376,6666.852700794145,90,107
7,-49.5,-42.5,0.18,63387.35949811376,6666.852700794145,107,124
8,-49.5,-41.5,0.18,63387.35949811376,6666.852700794145,124,141
9,-49.5,-40.5,0.18,63387.35949811376,6666.852700794145,141,158
10,-49.5,-39.5,0.18,63387.35949811376,6666.852700794145,158,175
11,-49.5,-38.5,0.18,63387.35949811376,6666.852700794145,175,192
12,-49.5,-37.5,0.18,63387.35949811376,6666.852700794145,192,209
13,-49.5,-36.5,0.18,63387.35949811376,6666.852700794145,209,226
14,-49.5,-35.5,0.18,63387.35949811376,6666.852700794145,226,243
15,-49.5,-34.5,0.18,63387.35949811376,6666.852700794145,243,260
16,-49.5,-33.5,0.18,63387.35949811376,6666.852700794145,260,277
17,-49.5,-32.5,0.18,63387.35949811376,6666.852700794145,277,294
18,-49.5,-31.5,0.18,63387.35949811376,6666.852700794145,294,311
19,-49.5,-30.5,0.18,63387.35949811376,6666.852700794145,311,328
20,-49.5,-29.5,0.18,63387.35949811376,6666.852700794145,328,345
21,-49.5,-28.5,0.18,63387.35949811376,6666.852700794145,345,362
22,-49.5,-27.5,0.18,63387.35949811376,6666.852700794145,362,379
23,-49.5,-26.5,0.18,63387.35949811376,6666.852700794145,379,396
24,-49.5,-25.5,0.18,63387.35949811376,6666.852700794145,396,413
25,-49.5,-24.5,0.18,63387.35949811376,6666.852700794145,413,430
26,-49.5,-23.5,0.18,63387.35949811376,6666.852700794145,430,447
27,-49.5,-22.5,0.18,63387.35949811376,6666.852700794145,447,464
28,-49.5,-21.5,0.18,63387.35949811376,6666.852700794145,464,481
29,-49.5,-20.5,0.18,63387.35949811376,6666.852700794145,481,498
30,-49.5,-19.5,0.18,63387.35949811376,6666.852700794145,498,515
31,-49.5,-18.5,0.18,63387.35949811376,6666.852700794145,515,532
32,-49.5,-17.5,0.18,63387.35949811376,6666.852700794145,532,549
33,-49.5,-16.5,0.18,63387.35949811376,6666.852700794145,549,566
34,-49.5,-15.5,0.18,63387.35949811376,6666.852700794145,566,583
35,-49.5,-14.5,0.18,63387.35949811376,6666.852700794145,583,600
36,-49.5,-13.5,0.18,63387.35949811376,6666.852700794145,600,617
37,-49.5,-12.5,0.18,63387.35949811376,6666.852700794145,617,634
38,-49.5,-11.5,0.18,63387.35949811376,6666.852700794145,634,651
39,-49.5,-10.5,0.18,63387.35949811376,6666.852700794145,651,668
40,-49.5,-9.5,0.18,63387.35949811376,6666.852700794145,668,685
41,-49.5,-8.5,0.18,63387.35949811376,6666.852700794145,685,702
42,-49.5,-7.5,0.18,63387.35949811376,6666.852700794145,702,719
43,-49.5,-6.5,0.18,63387.35949811376,6666.852700794145,719,736
44,-49.5,-5.5,0.18,63387.35949811376,6666.852700794145,736,753
45,-49.5,-4.5,0.18,63387.35949811376,6666.852700794145,753,770
46,-49.5,-3.5,0.18,63387.35949811376,6666.852700794145,770,787
47,-49.5,-2.5,0.18,63387.35949811376,6666.852700794145,787,804
48,-49.5,-1.5,0.18,63387.35949811376,6666.852700794145,804,821
49,-49.5,-0.5,0.18,63387.35949811376,6666.852700794145,821,838
50,-49.5,0.5,0.18,63387.35949811376,6666.852700794145,838,855
51,-49.5,1.5,0.18,63387.35949811376,6666.852700794145,855,872
52,-49.5,2.5,0.18,63387.35949811376,6666.852700794145,872,889
